pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
Kepler-62 c,12.44170000,4.00000,,,0.540,0.030,-0.030,0.69,0.64,4925.00,0,283.212747,45.349865
HD 156668 b,4.64550000,,,,,,,0.77,0.72,4850.00,0,259.418701,29.227226
Kepler-289 d,66.06340000,4.00000,0.90000,-0.90000,2.680,0.170,-0.170,1.08,1.00,5990.00,1,297.465344,42.882850
Kepler-60 d,11.89810000,4.16000,0.84000,-0.75000,1.990,0.160,-0.160,1.04,1.26,5905.00,1,288.961242,42.265011
GJ 3138 c,5.97400000,,,,,,,0.68,0.50,3717.00,0,32.295425,-16.339592
Kepler-60 b,7.13340000,4.19000,0.56000,-0.52000,1.710,0.130,-0.130,1.04,1.26,5905.00,1,288.961242,42.265011
PSR B1257+12 c,66.54190000,4.30000,0.20000,-0.20000,,,,,,,0,195.014903,12.682353
HD 219134 c,6.76458000,4.36000,0.22000,-0.22000,1.511,0.047,-0.047,0.81,0.78,4699.00,0,348.320740,57.168354
GJ 676 A d,3.60050000,,,,,,,0.71,,,0,262.546692,-51.636978
GJ 667 C g,256.20000000,,,,,,,0.33,,3350.00,0,259.745085,-34.996827
Kepler-36 b,13.83989000,4.45000,0.33000,-0.27000,1.486,0.035,-0.035,1.07,1.63,5911.00,1,291.250191,49.231827
Kepler-29 b,10.33840000,4.51000,1.41000,-1.47000,3.350,0.220,-0.220,0.98,0.93,5701.00,1,298.348324,47.491226
Kepler-105 c,7.12620000,4.60000,0.92000,-0.85000,1.310,0.070,-0.070,0.96,0.89,5827.00,0,287.887325,46.276237
Kepler-10 b,0.83749100,4.60853,1.27132,-1.46202,1.481,0.049,-0.029,0.91,1.06,5627.00,0,285.679394,50.241299
HD 219134 b,3.09292600,4.74000,0.19000,-0.19000,1.602,0.055,-0.055,0.81,0.78,4699.00,0,348.320740,57.168354
HD 20794 d,90.30900000,,,,,,,0.70,,5401.00,0,49.981876,-43.069782
HD 20794 e,147.02000000,,,,,,,0.70,,5401.00,0,49.981876,-43.069782
Kepler-223 e,19.72567000,4.80000,1.40000,-1.20000,4.600,0.270,-0.410,1.12,1.72,,1,298.318356,47.279495
HD 3167 b,0.95964100,5.02000,0.38000,-0.38000,1.700,0.180,-0.150,0.86,0.86,5261.00,0,8.739684,4.381469
Kepler-21 b,2.78578000,5.08000,1.72000,-1.72000,1.639,0.019,-0.015,1.41,1.90,6305.00,0,287.361816,38.714016
K2-141 b,0.28032440,5.08000,0.41000,-0.41000,1.510,0.050,-0.050,0.71,0.68,4599.00,0,350.916534,-1.189274
61 Vir b,4.21500000,,,,,,,0.94,0.96,5577.00,0,199.601318,-18.311195
Kepler-223 c,9.84564000,5.10000,1.70000,-1.10000,3.440,0.200,-0.300,1.12,1.72,,1,298.318356,47.279495
Kepler-26 b,12.28000000,5.12000,0.65000,-0.61000,2.780,0.110,-0.110,0.54,0.51,3914.00,1,284.940997,46.566540
HD 40307 f,51.76000000,,,,,,,0.77,,4956.00,0,88.517670,-60.023472
GJ 536 b,8.70760000,,,,,,,0.52,0.50,3685.00,0,210.263290,-2.654864
GJ 832 c,35.68000000,,,,,,,0.45,,3472.00,0,323.391571,-49.009006
OGLE-2005-BLG-390L b,3285.00000000,5.50000,5.50000,-2.70000,,,,0.22,,,0,268.579958,-30.377306
GJ 581 c,12.91400000,,,,,,,0.31,0.29,,0,229.861771,-7.722280
HD 1461 c,13.50520000,,,,,,,1.02,,5765.00,0,4.674448,-8.053001
EPIC 220674823 c,13.33870000,5.70000,6.10000,-6.10000,2.770,0.370,-0.230,0.92,0.95,5496.00,0,13.079780,10.794699
GJ 433 b,7.37090000,,,,,,,0.48,,3600.00,0,173.862289,-32.539970
CoRoT-7 b,0.85359159,5.74000,0.86000,-0.86000,1.585,0.064,-0.064,0.91,0.82,5259.00,0,100.956125,-1.063033
CoRoT-24 b,5.11340000,5.70000,,,3.700,0.400,-0.400,0.91,0.86,4950.00,0,101.922547,-3.719301
GJ 667 C b,7.20040000,,,,,,,0.33,,3350.00,0,259.745085,-34.996827
HD 176986 b,6.48980000,,,,,,,0.79,0.78,4931.00,0,285.774475,-11.043926
Kepler-68 b,5.39875000,5.97000,1.70000,-1.70000,2.330,0.020,-0.020,1.08,1.24,5793.00,0,291.032305,49.040272
Kepler-79 d,52.09020000,6.00000,2.10000,-1.60000,7.160,0.130,-0.160,1.17,1.30,6174.00,1,300.517131,44.381580
Kepler-350 c,17.84900000,6.10000,3.30000,-3.20000,3.100,1.420,-0.600,1.00,1.53,6186.00,1,285.419606,39.706107
Kepler-79 c,27.40290000,5.90000,1.90000,-2.30000,3.720,0.080,-0.080,1.17,1.30,6174.00,1,300.517131,44.381580
Kepler-92 c,26.72300000,6.10000,1.80000,-1.80000,2.600,0.080,-0.080,1.21,1.70,5883.00,0,289.086058,41.562941
Kepler-99 b,4.60358000,6.15000,1.30000,-1.30000,1.480,0.080,-0.080,0.79,0.73,4782.00,0,297.354004,41.300049
Kepler-305 c,8.29100000,6.00000,2.40000,-2.20000,3.300,0.820,-0.330,0.76,0.79,5100.00,1,299.224311,40.343182
Kepler-26 c,17.25590000,6.20000,0.65000,-0.65000,2.720,0.120,-0.120,0.54,0.51,3914.00,1,284.940997,46.566540
GJ 3998 c,13.74000000,,,,,,,0.50,0.49,3722.00,0,259.002655,11.057666
GJ 1214 b,1.58040456,6.26125,0.85814,-0.85814,2.847,0.202,-0.202,0.16,0.18,3170.00,0,258.828837,4.963920
HD 215497 b,3.93404000,,,,,,,0.87,,5113.00,0,341.653137,-56.599533
Kepler-406 b,2.42629000,6.35000,1.40000,-1.40000,1.430,0.030,-0.030,1.07,1.07,5538.00,0,291.848044,44.968224
Kepler-87 c,191.23180000,6.40000,0.80000,-0.80000,6.140,0.290,-0.290,1.10,1.82,5600.00,0,297.916877,46.965130
HD 1461 b,5.77152000,,,,,,,1.02,,5765.00,0,4.674448,-8.053001
HD 7924 d,24.45100000,,,,,,,0.83,0.78,5075.00,0,20.496313,76.710281
K2-131 b,0.36930380,6.50000,1.60000,-1.60000,1.810,0.160,-0.120,0.84,0.81,5200.00,0,182.751556,-9.765218
HD 40307 c,9.61840000,,,,,,,0.77,,4956.00,0,88.517670,-60.023472
GJ 3341 b,14.20700000,,,,,,,0.47,0.44,3526.00,0,78.944663,-31.295951
LHS 1140 b,24.73712000,6.65000,1.82000,-1.82000,1.430,0.100,-0.100,0.15,0.19,3131.00,0,11.247240,-15.271532
GJ 876 d,1.93778000,6.83000,0.40000,-0.40000,,,,0.32,0.30,,0,343.319733,-14.263700
MOA-2012-BLG-505L b,,6.70000,10.61000,-3.51000,,,,0.10,,,0,268.143097,-32.040092
Kepler-80 c,9.52355000,6.74000,1.23000,-0.86000,2.740,0.120,-0.100,0.73,0.68,4540.00,1,296.112564,39.978779
Kepler-80 d,3.07222000,6.75000,0.69000,-0.51000,1.530,0.090,-0.070,0.73,0.68,4540.00,1,296.112564,39.978779
GJ 163 c,25.63058000,,,,,,,0.40,,3500.00,0,62.315273,-53.373699
Kepler-454 b,10.57375339,6.84000,1.40000,-1.40000,2.370,0.130,-0.130,1.03,1.07,5701.00,0,287.478529,38.228866
HD 3167 d,8.50900000,,,,,,,0.86,0.86,5261.00,0,8.739684,4.381469
Kepler-80 b,7.05246000,6.93000,1.05000,-0.70000,2.670,0.100,-0.100,0.73,0.68,4540.00,1,296.112564,39.978779
Kepler-18 b,3.50472500,6.90000,3.40000,-3.40000,2.000,0.100,-0.100,0.97,1.11,5345.00,1,298.079439,44.746321
Kapteyn c,121.54000000,,,,,,,0.28,0.29,3550.00,0,77.919090,-45.018414
HD 40307 g,197.80000000,,,,,,,0.77,,4956.00,0,88.517670,-60.023472
