pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag,ra,dec
K2-89 b,1.09602600,,,,0.615,0.080,-0.080,0.35,0.32,3691.00,0,57.066715,20.459639
K2-90 b,13.73490700,,,,2.530,0.140,-0.130,0.70,0.63,4421.98,0,59.152405,22.472631
K2-90 c,2.90070600,,,,1.300,0.130,-0.110,0.70,0.63,4421.98,0,59.152405,22.472631
K2-91 b,1.41954900,,,,1.100,0.180,-0.180,0.29,0.28,3622.00,0,63.218063,24.205112
Kepler-296 d,19.85029100,,,,2.090,0.330,-0.320,0.50,0.48,3740.00,0,286.540008,49.437326
Kepler-296 f,63.33627000,,,,1.800,0.310,-0.300,0.50,0.48,3740.00,0,286.540008,49.437326
Kepler-297 b,38.87182600,,,,2.870,0.520,-0.520,,0.92,5619.00,1,283.209159,48.777645
Kepler-297 c,74.92013700,,,,6.540,1.180,-1.180,,0.92,5619.00,1,283.209159,48.777645
Kepler-298 c,22.92881000,,,,1.930,0.220,-0.220,0.65,0.58,4465.00,0,283.039792,48.825359
Kepler-294 c,6.62640000,,,,2.710,1.270,-1.270,,0.98,5913.00,0,287.392009,46.059312
Kepler-295 c,21.52625800,,,,1.170,0.620,-0.620,,0.90,5603.00,0,285.345843,45.367786
Kepler-296 b,10.86438400,,,,1.610,0.290,-0.270,0.50,0.48,3740.00,0,286.540008,49.437326
Kepler-296 c,5.84163660,,,,2.000,0.330,-0.320,0.50,0.48,3740.00,0,286.540008,49.437326
Kepler-298 d,77.47363300,,,,2.500,0.200,-0.200,0.65,0.58,4465.00,0,283.039792,48.825359
Kepler-299 b,2.92712800,,,,1.320,0.270,-0.270,0.97,1.03,5617.00,0,283.206964,48.580502
Kepler-299 c,6.88587500,,,,2.650,0.630,-0.630,0.97,1.03,5617.00,0,283.206964,48.580502
Kepler-299 e,38.28548900,,,,1.870,0.390,-0.390,0.97,1.03,5617.00,0,283.206964,48.580502
Kepler-300 b,10.44634700,,,,1.670,0.760,-0.760,0.94,0.90,5986.00,0,295.288694,48.599720
Kepler-300 c,40.71495500,,,,2.250,1.040,-1.040,0.94,0.90,5986.00,0,295.288694,48.599720
Kepler-301 c,5.41902600,,,,1.350,0.720,-0.720,0.91,0.90,5815.00,0,283.982968,49.232990
Kepler-301 d,13.75124300,,,,1.750,0.940,-0.940,0.91,0.90,5815.00,0,283.982968,49.232990
Kepler-302 b,30.18410400,,,,4.060,0.850,-0.850,,1.22,5740.00,0,294.316985,43.629345
Kepler-302 c,127.28218400,,,,12.450,2.540,-2.540,,1.22,5740.00,0,294.316985,43.629345
Kepler-303 b,1.93705500,,,,0.890,0.050,-0.050,0.59,0.48,3944.00,0,283.135465,43.657055
Kepler-303 c,7.06114900,,,,1.140,0.090,-0.090,0.59,0.48,3944.00,0,283.135465,43.657055
Kepler-304 b,3.29570900,,,,2.860,0.210,-0.210,0.80,0.69,4731.00,0,294.441763,40.557587
Kepler-304 c,5.31594600,,,,2.170,0.150,-0.150,0.80,0.69,4731.00,0,294.441763,40.557587
Kepler-304 d,9.65347100,,,,2.750,0.210,-0.210,0.80,0.69,4731.00,0,294.441763,40.557587
Kepler-517 b,60.92832271,,,,2.670,0.320,-0.220,0.95,0.98,5690.00,0,293.675335,41.295348
Kepler-518 b,8.51203588,,,,2.110,0.050,-0.050,0.96,0.88,5842.00,0,287.089972,41.373873
Kepler-519 b,24.30789460,,,,2.100,0.060,-0.040,0.89,0.80,5260.00,0,299.319538,41.384647
Kepler-132 e,110.28693740,,,,1.180,0.160,-0.120,,1.18,6003.00,0,283.235810,41.343037
Kepler-520 b,19.67416124,,,,1.660,0.280,-0.100,1.10,1.09,6112.00,0,293.180322,41.617763
Kepler-511 b,296.63786500,,,,6.350,1.400,-1.020,1.00,1.20,5770.00,0,282.945693,47.574875
Kepler-512 b,34.43587975,,,,2.690,0.490,-0.310,1.17,1.30,5997.00,0,298.268960,48.916740
Kepler-513 b,28.86235584,,,,2.200,0.310,-0.200,1.02,1.06,5849.00,0,285.041686,50.075375
Kepler-514 b,5.65179605,,,,1.720,0.280,-0.190,1.28,1.44,6106.00,0,286.247188,50.242409
Kepler-515 b,19.96371318,,,,1.460,0.060,-0.050,0.90,0.83,5293.00,0,290.493913,52.055611
Kepler-516 b,24.85462415,,,,5.740,1.430,-1.160,1.62,2.02,7099.00,0,295.608779,38.735736
Kepler-520 c,5.21104261,,,,1.070,0.070,-0.050,1.10,1.09,6112.00,0,293.180322,41.617763
Kepler-521 b,22.20813214,,,,3.180,0.310,-0.230,1.34,1.46,6406.00,0,298.816376,43.998039
Kepler-522 b,38.58422849,,,,6.910,1.500,-1.210,1.54,1.98,6392.00,0,288.153996,44.068821
Kepler-523 b,5.83598311,,,,1.960,0.080,-0.060,0.93,0.86,5515.00,0,284.061130,45.506855
Kepler-524 b,7.97419807,,,,1.910,0.140,-0.120,1.09,1.10,6014.00,0,296.859217,49.162048
Kepler-524 c,1.88897906,,,,0.960,0.080,-0.070,1.09,1.10,6014.00,0,296.859217,49.162048
Kepler-525 b,18.68404933,,,,2.630,0.380,-0.520,0.95,1.15,5573.00,0,296.183433,47.358761
Kepler-526 b,5.45849832,,,,1.990,0.160,-0.170,1.15,1.14,5894.00,0,297.650933,47.396294
Kepler-527 b,13.28535633,,,,2.840,1.350,-0.460,1.28,1.45,6388.00,0,290.957911,47.406284
Kepler-528 b,19.78297415,,,,2.080,0.290,-0.190,1.01,1.06,5807.00,0,295.684814,47.748081
Kepler-529 b,1.98035766,,,,1.860,0.250,-0.170,1.07,1.14,6087.00,0,285.888369,47.880386
Kepler-529 c,12.83450220,,,,2.000,0.410,-0.210,1.07,1.14,6087.00,0,285.888369,47.880386
Kepler-530 b,39.30941904,,,,3.010,0.170,-0.100,0.97,0.89,5697.00,0,283.340288,48.549046
Kepler-531 b,29.88485741,,,,2.780,0.080,-0.190,0.78,0.75,4893.00,0,286.524812,48.683601
Kepler-532 b,12.92491623,,,,2.570,0.210,-0.140,0.87,0.79,5192.00,0,298.660915,48.606373
Kepler-534 b,15.95994513,,,,2.240,0.080,-0.070,1.05,0.98,5884.00,0,296.418559,49.540104
K2-3 d,44.55983000,,,,1.510,0.230,-0.230,0.60,0.56,3896.00,0,172.334946,-1.454787
KIC 10001893 c,0.32528000,,,,,,,,,27500.00,0,287.389188,46.984489
Kepler-104 c,23.66820500,,,,3.130,0.550,-0.550,0.81,1.35,5711.00,0,287.604612,42.166779
Kepler-106 b,6.16486000,,,,0.820,0.110,-0.110,1.00,1.04,5858.00,0,300.863971,44.337555
Kepler-107 d,7.95820300,,,,1.070,0.060,-0.060,,1.41,5851.00,0,297.028248,48.208611
Kepler-109 b,6.48163000,,,,2.370,0.070,-0.070,1.04,1.32,5952.00,0,290.392721,40.284875
Kepler-110 c,31.71977500,,,,2.210,0.440,-0.440,,1.15,5960.00,0,292.929133,48.602814
Kepler-112 c,28.57426300,,,,2.400,0.580,-0.580,,0.84,5544.00,0,296.981009,43.209751
Kepler-116 c,13.07163000,,,,2.300,0.440,-0.440,1.16,1.45,6142.00,0,294.742070,43.536835
Kepler-119 b,2.42208200,,,,3.600,1.370,-1.370,,0.84,5595.00,0,295.946421,42.658924
Kepler-305 d,16.73866100,,,,2.710,0.410,-0.410,0.76,0.79,5100.00,0,299.224311,40.343182
Kepler-306 b,4.64618600,,,,1.520,0.100,-0.100,0.82,0.72,4954.00,0,288.538671,40.616140
Kepler-306 c,7.24019300,,,,2.350,0.190,-0.190,0.82,0.72,4954.00,0,288.538671,40.616140
Kepler-306 e,44.84097500,,,,2.270,0.150,-0.150,0.82,0.72,4954.00,0,288.538671,40.616140
Kepler-308 c,15.38231000,,,,2.160,1.040,-1.040,,0.94,5895.00,0,295.785154,40.439550
Kepler-309 b,5.92365300,,,,1.560,0.140,-0.140,,0.72,4713.00,0,297.509851,46.961281
Kepler-309 c,105.35638300,,,,2.510,0.180,-0.180,,0.72,4713.00,1,297.509851,46.961281
Kepler-310 c,56.47542000,,,,3.380,1.580,-1.580,0.85,0.88,5797.00,0,288.839363,46.986744
Kepler-310 d,92.87612500,,,,2.470,1.150,-1.150,0.85,0.88,5797.00,0,288.839363,46.986744
Kepler-311 b,9.17609200,,,,1.700,0.330,-0.330,1.06,1.19,5905.00,0,282.061290,47.085491
Kepler-311 c,19.73828600,,,,1.430,0.280,-0.280,1.06,1.19,5905.00,0,282.061290,47.085491
Kepler-312 c,19.74741200,,,,3.150,0.610,-0.610,1.23,1.47,6115.00,1,298.395772,42.459756
Kepler-313 b,14.97041800,,,,2.530,0.310,-0.310,0.90,1.54,5727.00,0,298.294935,48.775459
Kepler-313 c,32.27327300,,,,2.570,0.420,-0.420,0.90,1.54,5727.00,0,298.294935,48.775459
Kepler-314 c,5.96039200,,,,2.900,0.430,-0.430,1.02,0.95,5378.00,0,294.674114,42.075588
Kepler-315 b,96.10114100,,,,3.770,0.780,-0.780,0.78,1.04,5796.00,1,298.023104,43.363522
Kepler-315 c,265.46933500,,,,4.150,0.960,-0.960,0.78,1.04,5796.00,0,298.023104,43.363522
Kepler-316 c,6.82776600,,,,1.160,0.120,-0.120,0.53,0.52,4204.00,0,290.826023,44.184109
Kepler-317 b,5.52424200,,,,2.090,0.960,-0.960,0.95,0.94,5497.00,0,294.943885,39.032062
Kepler-317 c,8.77501000,,,,1.720,0.790,-0.790,0.95,0.94,5497.00,0,294.943885,39.032062
Kepler-318 c,11.81500700,,,,3.680,0.650,-0.650,1.05,1.19,5746.00,0,298.482828,46.793617
Kepler-319 b,4.36270500,,,,1.630,0.230,-0.230,1.29,0.90,5526.00,0,288.811943,39.770658
Kepler-148 d,51.84688575,,,,8.680,0.520,-0.420,,0.85,5272.00,0,289.786216,46.858788
Kepler-545 b,13.24934059,,,,2.690,0.300,-0.210,1.04,1.07,5882.00,0,290.566303,40.692045
Kepler-535 b,4.90332155,,,,2.360,0.330,-0.210,1.18,1.27,6123.00,0,296.566641,49.696251
Kepler-546 b,4.14702026,,,,7.000,1.930,-0.770,1.11,1.15,5967.00,0,283.257599,40.990498
Kepler-536 b,1.82708230,,,,3.100,0.380,-0.220,0.92,0.89,5524.00,0,297.736380,49.637154
Kepler-537 b,3.24755522,,,,1.410,0.060,-0.040,1.07,0.99,5763.00,0,289.880634,51.277081
Kepler-540 b,172.70497840,,,,2.710,0.380,-0.260,1.02,1.08,5946.00,0,290.625252,44.873962
Kepler-541 b,5.08005848,,,,3.360,0.580,-0.560,1.41,2.06,6166.00,0,294.149669,38.458259
Kepler-548 b,4.45419434,,,,11.990,2.190,-1.100,0.93,0.90,5535.00,0,299.905910,45.439678
Kepler-549 b,42.94956490,,,,2.570,0.230,-0.170,0.88,0.84,5360.00,0,283.022789,47.261135
Kepler-543 b,13.89961966,,,,2.500,0.120,-0.260,0.70,0.67,4671.00,0,287.218727,38.862513
Kepler-544 b,21.41616926,,,,2.120,0.190,-0.140,1.16,1.22,6206.00,0,294.029098,39.051846
Kepler-549 c,117.04049800,,,,2.930,0.250,-0.590,0.88,0.84,5360.00,0,283.022789,47.261135
Kepler-550 b,8.60010411,,,,4.420,0.340,-0.270,0.87,0.83,5322.00,0,297.700240,47.863750
Kepler-552 b,5.26341577,,,,3.950,0.820,-0.570,1.03,1.04,5863.00,0,290.747687,48.242012
Kepler-553 b,4.03046804,,,,4.630,0.130,-0.180,0.92,0.85,5266.00,0,298.550829,48.332455
Kepler-553 c,328.23995460,,,,11.200,0.320,-0.310,0.92,0.85,5266.00,0,298.550829,48.332455
Kepler-154 d,20.54981883,,,,3.840,0.320,-0.240,0.89,1.00,5690.00,0,289.780522,49.896530
Kepler-154 e,3.93276465,,,,1.500,0.140,-0.120,0.89,1.00,5690.00,0,289.780522,49.896530
Kepler-154 f,9.91935684,,,,1.500,0.340,-0.210,0.89,1.00,5690.00,0,289.780522,49.896530
Kepler-554 b,1.90220856,,,,4.290,0.270,-0.210,0.93,0.92,5447.00,0,296.406853,51.358154
Kepler-121 b,3.17742200,,,,2.340,1.270,-1.270,,0.70,5311.00,0,286.162064,39.677995
Kepler-122 d,21.58747500,,,,2.200,0.440,-0.440,0.99,1.22,6050.00,0,291.111883,39.949104
Kepler-124 b,3.41049300,,,,0.730,0.050,-0.050,,0.64,4984.00,0,286.752797,49.064911
Kepler-125 c,5.77446400,,,,0.740,0.050,-0.050,0.55,0.51,3810.00,0,298.258123,47.604946
Kepler-127 b,14.43588900,,,,1.400,0.050,-0.050,,1.36,6106.00,0,285.189985,46.027962
Kepler-130 c,27.50868000,,,,2.900,0.250,-0.250,1.00,1.13,5884.00,1,288.450665,40.245305
Kepler-132 c,6.41491400,,,,1.280,0.250,-0.250,,1.18,6003.00,0,283.235810,41.343037
Kepler-134 c,10.10578500,,,,1.260,0.250,-0.250,,1.18,5983.00,0,284.739001,49.598396
Kepler-136 c,16.39923500,,,,1.990,0.370,-0.370,1.20,1.35,6165.00,0,296.467314,42.598771
Kepler-140 b,3.25427000,,,,1.610,0.310,-0.310,,1.29,6077.00,0,287.369468,46.768213
Kepler-142 b,2.02415200,,,,1.990,0.390,-0.390,0.99,1.27,5790.00,0,295.118899,48.481281
Kepler-150 c,7.38199800,,,,3.690,0.590,-0.590,,0.94,5560.00,0,288.234084,40.520905
Kepler-151 c,24.67461200,,,,2.090,1.040,-1.040,0.83,0.83,5460.00,0,292.162778,41.023235
Kepler-154 b,33.04053200,,,,2.260,0.440,-0.440,0.89,1.00,5690.00,0,289.780522,49.896530
Kepler-156 b,4.97345600,,,,2.300,0.170,-0.170,,0.81,5094.00,0,290.296515,37.749490
Kepler-158 b,16.70918400,,,,2.120,0.360,-0.360,,0.62,4623.00,0,284.032244,39.781348
Kepler-160 c,13.69908700,,,,3.610,1.770,-1.770,,0.88,5857.00,1,287.773581,42.869286
Kepler-162 c,19.44635500,,,,3.030,1.630,-1.630,,0.96,5816.00,0,297.278910,43.724018
Kepler-164 c,10.94572300,,,,2.730,0.520,-0.520,1.11,1.15,5888.00,0,287.780828,47.629913
Kepler-166 b,7.65025400,,,,2.270,1.170,-1.170,,0.74,5413.00,0,293.160171,48.881191
Kepler-325 b,4.54443900,,,,2.910,1.440,-1.440,0.87,1.00,5752.00,0,289.835434,49.825626
Kepler-325 c,12.76217200,,,,2.540,1.260,-1.260,0.87,1.00,5752.00,0,289.835434,49.825626
Kepler-319 c,6.94135700,,,,2.630,0.370,-0.370,1.29,0.90,5526.00,0,288.811943,39.770658
Kepler-326 b,2.24832900,,,,1.520,0.160,-0.160,0.98,0.80,5105.00,0,294.325546,46.002254
Kepler-319 d,31.78192500,,,,2.290,0.350,-0.350,1.29,0.90,5526.00,0,288.811943,39.770658
Kepler-320 c,17.93493700,,,,1.370,0.640,-0.640,,1.11,6435.00,0,293.213548,46.175125
Kepler-321 b,4.91537900,,,,1.770,0.340,-0.340,1.01,1.19,5740.00,0,294.453674,44.145756
Kepler-321 c,13.09392100,,,,2.320,0.450,-0.450,1.01,1.19,5740.00,0,294.453674,44.145756
Kepler-322 c,4.33723400,,,,1.670,0.180,-0.180,0.91,0.89,5388.00,0,281.348824,44.295242
Kepler-323 b,1.67832700,,,,1.430,0.280,-0.280,1.09,1.18,5987.00,0,291.382240,38.127473
Kepler-323 c,3.55382200,,,,1.630,0.320,-0.320,1.09,1.18,5987.00,0,291.382240,38.127473
Kepler-326 c,4.58035800,,,,1.400,0.100,-0.100,0.98,0.80,5105.00,0,294.325546,46.002254
Kepler-326 d,6.76688800,,,,1.210,0.090,-0.090,0.98,0.80,5105.00,0,294.325546,46.002254
Kepler-324 c,51.80561200,,,,3.150,0.330,-0.330,0.86,0.84,5194.00,1,286.471473,49.649021
Kepler-327 b,2.54957500,,,,1.110,0.050,-0.050,0.55,0.49,3799.00,0,292.642372,44.087673
Kepler-327 d,13.96945700,,,,1.730,0.100,-0.100,0.55,0.49,3799.00,0,292.642372,44.087673
Kepler-329 c,18.68473700,,,,1.930,0.290,-0.290,0.53,0.52,4257.00,0,299.268042,45.227428
Kepler-330 b,8.25978000,,,,1.350,0.530,-0.530,0.78,0.72,5117.00,0,288.447375,44.801685
Kepler-330 c,15.95538700,,,,1.950,0.720,-0.720,0.78,0.72,5117.00,0,288.447375,44.801685
Kepler-331 c,17.28111000,,,,1.840,0.190,-0.190,0.51,0.49,4347.00,0,291.834328,39.307358
Kepler-331 d,32.13432800,,,,1.640,0.170,-0.170,0.51,0.49,4347.00,0,291.834328,39.307358
Kepler-332 b,7.62632400,,,,1.170,0.080,-0.080,0.80,0.72,4955.00,0,286.662964,47.413700
Kepler-332 c,15.99562200,,,,1.090,0.080,-0.080,0.80,0.72,4955.00,0,286.662964,47.413700
Kepler-333 b,12.55115800,,,,1.320,0.160,-0.160,0.54,0.53,4259.00,0,292.286069,40.913584
Kepler-1428 b,10.67607169,,,,1.640,0.140,-0.100,1.28,1.36,6184.00,0,297.642262,49.594978
Kepler-1429 b,4.48487493,,,,1.290,0.350,-0.140,1.05,1.07,5902.00,0,285.366245,49.044868
Kepler-1430 b,2.46050993,,,,1.180,0.090,-0.080,0.77,0.72,4796.00,0,289.697494,43.372093
Kepler-1431 b,5.86601526,,,,1.470,0.420,-0.160,1.03,1.03,5806.00,0,292.658395,49.865192
Kepler-1432 b,23.91090110,,,,2.220,0.690,-0.300,1.09,1.13,6031.00,0,295.524175,49.829548
Kepler-1433 b,4.13592271,,,,1.560,0.450,-0.180,1.14,1.19,6097.00,0,287.363299,49.456890
Kepler-1434 b,8.05333618,,,,1.110,0.210,-0.200,1.47,2.04,6291.00,0,295.538380,51.202957
Kepler-1435 b,4.45343281,,,,0.860,0.120,-0.090,1.21,1.32,6356.00,0,291.173299,44.921131
Kepler-1436 b,9.70571600,,,,1.310,0.350,-0.180,1.06,1.09,5972.00,0,297.711565,46.768021
Kepler-1437 b,10.92954610,,,,1.370,0.170,-0.130,0.93,0.90,5557.00,0,291.864930,49.325920
Kepler-1438 b,2.31942009,,,,0.940,0.190,-0.100,0.97,0.96,5530.00,0,289.289809,40.681665
Kepler-1439 b,8.07392849,,,,1.460,0.140,-0.210,0.46,0.43,3578.00,0,285.739806,40.980036
Kepler-1440 b,39.85948400,,,,1.260,0.230,-0.140,0.98,0.96,5698.00,0,285.346938,48.312252
Kepler-202 c,16.28249300,,,,1.850,0.100,-0.100,,0.67,4668.00,0,282.973419,41.322006
Kepler-295 b,12.64516400,,,,1.220,0.640,-0.640,,0.90,5603.00,0,285.345843,45.367786
Kepler-339 d,10.55834500,,,,1.170,0.530,-0.530,0.84,0.80,5631.00,0,293.351712,48.444641
Kepler-383 c,31.20075100,,,,1.240,0.490,-0.490,0.67,0.67,4710.00,0,291.342584,38.363134
Kepler-430 c,110.97900000,,,,1.750,,,1.17,1.49,5884.00,0,292.808636,49.579445
K2-3 b,10.05449000,,,,2.180,0.300,-0.300,0.60,0.56,3896.00,0,172.334946,-1.454787
Kepler-623 b,9.07097734,,,,3.010,0.340,-0.210,0.90,0.86,5443.00,0,296.986721,47.477390
K2-13 b,39.91488000,,,,1.890,0.950,-0.950,0.80,0.78,5698.00,0,170.155533,2.502696
Kepler-583 b,6.51002530,,,,2.280,0.290,-0.150,0.94,0.91,5523.00,0,282.111330,42.354504
Kepler-584 b,35.18103040,,,,4.210,1.590,-0.560,1.17,1.24,6195.00,0,288.230593,42.413624
Kepler-585 b,2.75235975,,,,2.830,0.550,-0.270,0.96,0.93,5593.00,0,286.528499,43.873405
Kepler-188 c,5.99655300,,,,3.190,1.450,-1.450,,1.14,6021.00,0,281.279710,44.315533
Kepler-191 b,9.93963200,,,,1.340,0.660,-0.660,0.85,0.79,5282.00,0,291.183386,45.323177
Kepler-168 c,13.19324200,,,,2.690,1.210,-1.210,,1.11,6282.00,0,294.710165,39.825104
Kepler-169 e,13.76710200,,,,2.200,0.290,-0.290,0.86,0.76,4997.00,0,285.999891,40.919329
Kepler-171 b,4.16697200,,,,2.340,1.050,-1.050,,0.84,5642.00,0,296.771914,41.755537
Kepler-172 d,14.62711900,,,,2.250,0.400,-0.400,0.86,1.08,5526.00,0,283.368413,41.821857
Kepler-174 b,13.98179000,,,,1.960,0.110,-0.110,,0.62,4880.00,0,287.439194,43.832092
Kepler-175 c,34.03525700,,,,3.100,1.560,-1.560,1.04,1.01,6064.00,0,289.553283,43.876183
Kepler-178 d,96.67898800,,,,3.950,1.700,-1.700,,1.07,5676.00,1,287.101089,46.896477
Kepler-186 b,3.88679070,,,,1.070,0.120,-0.120,0.54,0.52,3755.00,0,298.652714,43.955017
Kepler-186 f,129.94410000,,,,1.170,0.080,-0.080,0.54,0.52,3755.00,0,298.652714,43.955017
Kepler-193 b,11.38848000,,,,2.390,1.080,-1.080,,1.15,6335.00,0,296.498596,46.577244
Kepler-194 d,52.81497300,,,,2.400,1.260,-1.260,,1.02,6089.00,0,291.971445,47.864174
Kepler-196 c,47.42773700,,,,2.240,0.170,-0.170,,0.78,5128.00,0,284.968519,42.079205
Kepler-198 b,17.79003700,,,,2.820,0.420,-0.420,0.93,0.94,5574.00,0,290.673130,38.691011
Kepler-20 e,6.09852281,,,,0.865,0.026,-0.028,0.95,0.96,5495.00,0,287.698004,42.338726
Kepler-200 b,8.59480500,,,,2.130,0.410,-0.410,,0.94,5678.00,0,284.409920,41.237465
Kepler-202 b,4.06942700,,,,1.630,0.100,-0.100,,0.67,4668.00,0,282.973419,41.322006
Kepler-204 b,14.40097400,,,,2.530,0.540,-0.540,0.96,1.24,5812.00,0,285.347187,41.761925
Kepler-206 b,7.78198700,,,,1.200,0.240,-0.240,0.94,1.19,5764.00,0,291.634678,41.833866
Kepler-207 c,3.07157100,,,,1.500,0.290,-0.290,,1.59,5920.00,0,290.030517,42.166050
Kepler-334 d,25.09849000,,,,1.410,0.260,-0.260,1.00,1.07,5828.00,0,287.140668,47.115196
Kepler-335 b,6.56233100,,,,3.390,0.670,-0.670,0.99,1.85,5877.00,0,296.064311,45.428623
Kepler-335 c,67.84446900,,,,3.070,0.660,-0.660,0.99,1.85,5877.00,0,296.064311,45.428623
Kepler-336 c,9.60000100,,,,2.100,0.370,-0.370,0.89,1.30,5867.00,0,290.237643,41.331370
Kepler-333 c,24.08821000,,,,1.110,0.200,-0.200,0.54,0.53,4259.00,0,292.286069,40.913584
Kepler-334 b,5.47031900,,,,1.120,0.210,-0.210,1.00,1.07,5828.00,0,287.140668,47.115196
Kepler-336 d,20.67877200,,,,2.370,0.480,-0.480,0.89,1.30,5867.00,0,290.237643,41.331370
Kepler-337 b,3.29278100,,,,1.540,0.430,-0.430,0.96,1.76,5684.00,0,290.060490,47.163956
Kepler-337 c,9.69320100,,,,2.050,0.570,-0.570,0.96,1.76,5684.00,0,290.060490,47.163956
Kepler-338 b,13.72697600,,,,2.440,0.130,-0.130,1.10,1.74,5923.00,1,282.978956,40.784347
Kepler-338 c,24.31085600,,,,2.340,0.120,-0.120,1.10,1.74,5923.00,0,282.978956,40.784347
Kepler-338 d,44.43101400,,,,3.000,0.280,-0.280,1.10,1.74,5923.00,0,282.978956,40.784347
Kepler-339 b,4.97765600,,,,1.420,0.660,-0.660,0.84,0.80,5631.00,0,293.351712,48.444641
Kepler-339 c,6.98805500,,,,1.150,0.520,-0.520,0.84,0.80,5631.00,0,293.351712,48.444641
Kepler-340 b,14.84438700,,,,2.530,0.600,-0.600,2.11,1.85,6620.00,0,295.933477,40.300570
Kepler-340 c,22.82466900,,,,3.370,0.770,-0.770,2.11,1.85,6620.00,0,295.933477,40.300570
Kepler-341 b,5.19552800,,,,1.180,0.620,-0.620,0.94,1.02,6012.00,0,289.861576,43.472775
Kepler-341 c,8.01041000,,,,1.700,0.860,-0.860,0.94,1.02,6012.00,0,289.861576,43.472775
Kepler-341 d,27.66631300,,,,1.850,0.940,-0.940,0.94,1.02,6012.00,0,289.861576,43.472775
Kepler-342 b,15.17031800,,,,2.250,0.400,-0.400,1.13,1.47,6175.00,0,292.678083,46.726715
Kepler-342 c,26.23413800,,,,1.960,0.350,-0.350,1.13,1.47,6175.00,1,292.678083,46.726715
Kepler-342 d,39.45935700,,,,2.490,0.480,-0.480,1.13,1.47,6175.00,1,292.678083,46.726715
Kepler-343 b,8.96855000,,,,2.410,0.510,-0.510,1.04,1.43,5807.00,0,291.960684,42.433006
Kepler-1445 b,10.60052251,,,,0.960,0.200,-0.130,1.13,1.26,6150.00,0,280.249457,43.915066
Kepler-1446 b,0.68996783,,,,0.820,0.040,-0.020,0.81,0.75,4865.00,0,289.423960,46.726170
Kepler-1441 b,39.44198390,,,,1.310,0.220,-0.130,1.00,1.00,5802.00,0,293.719126,43.124590
Kepler-1447 b,56.67472850,,,,2.900,0.500,-0.240,0.97,0.95,5722.00,0,289.643439,50.727089
Kepler-1442 b,81.41629410,,,,3.930,0.410,-0.290,1.34,1.44,6394.00,0,291.255595,48.846970
Kepler-1443 b,2.41811321,,,,0.970,0.220,-0.090,1.19,1.27,6289.00,0,283.435761,47.066855
Kepler-1444 b,33.42035034,,,,2.180,0.410,-0.190,1.03,1.05,5810.00,0,285.330615,42.040436
Kepler-1448 b,12.27065865,,,,1.610,0.210,-0.160,0.95,0.93,5774.00,0,287.867389,50.595585
Kepler-1449 b,13.22745280,,,,1.680,0.370,-0.180,1.08,1.10,5979.00,0,288.231731,50.567886
Kepler-1450 b,54.50941660,,,,1.710,0.130,-0.110,0.71,0.68,4524.00,0,294.553828,45.081390
Kepler-1451 b,35.62223300,,,,3.350,0.620,-0.660,1.00,0.99,5782.00,0,293.446425,40.409892
Kepler-1452 b,42.91375100,,,,2.700,0.390,-0.350,1.41,2.06,6101.00,0,292.422830,38.266328
Kepler-1453 b,47.16116960,,,,2.670,0.440,-0.210,0.97,0.94,5665.00,0,286.125545,47.947613
Kepler-1454 b,47.03194790,,,,1.880,0.190,-0.170,0.90,0.86,5448.00,0,284.223331,48.831772
Kepler-1455 b,49.27676400,,,,2.160,0.150,-0.160,0.62,0.60,4075.00,0,294.083055,50.502777
Kepler-1456 b,18.13738290,,,,1.140,0.090,-0.150,0.64,0.62,4231.00,0,286.945321,43.822773
Kepler-1457 b,51.11102430,,,,1.990,0.310,-0.200,1.01,1.01,5866.00,0,283.770601,42.027245
Kepler-1458 b,47.98727640,,,,2.760,0.420,-0.210,0.96,0.94,5653.00,0,283.211614,41.038063
Kepler-1459 b,62.86916110,,,,1.360,0.100,-0.080,0.78,0.74,4828.00,0,282.423025,46.014019
Kepler-1460 b,29.96332470,,,,1.960,0.140,-0.130,0.70,0.67,4422.00,0,285.557796,44.010788
Kepler-1461 b,29.34947750,,,,2.030,0.090,-0.160,0.79,0.74,4919.00,0,285.830458,43.198395
Kepler-1462 b,65.64883410,,,,3.820,0.820,-0.390,1.00,1.00,5756.00,0,296.397527,42.396918
Kepler-1464 b,31.77859010,,,,1.660,0.290,-0.160,1.02,1.01,5828.00,0,287.235677,38.754161
Kepler-1464 c,5.32786292,,,,1.000,0.220,-0.110,1.02,1.01,5828.00,0,287.235677,38.754161
Kepler-1465 b,31.82771110,,,,1.770,0.350,-0.190,0.75,0.71,4726.00,0,289.819341,51.904850
Kepler-1466 b,31.17504480,,,,1.550,0.270,-0.170,1.01,1.02,5884.00,0,289.831222,44.609863
Kepler-1468 b,8.23984869,,,,1.730,0.410,-0.190,1.04,1.05,5893.00,0,293.519844,41.277405
Kepler-594 b,13.64618192,,,,2.180,0.220,-0.150,0.91,0.87,5485.00,0,288.921586,49.762035
Kepler-595 b,25.30292332,,,,3.810,0.280,-0.170,0.87,0.83,5247.00,0,294.570393,50.673023
Kepler-596 b,21.30022655,,,,3.460,1.630,-0.470,1.21,1.32,6267.00,0,289.500676,51.685730
