pl_name,pl_orbper,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,st_mass,st_rad,st_teff,pl_ttvflag
BD+20 594 b,41.68550000,16.30000,6.00000,-6.10000,2.230,0.140,-0.110,0.96,0.93,5766.00,0
K2-32 b,8.99213000,16.50000,2.70000,-2.70000,5.130,0.280,-0.280,0.86,0.84,5275.00,0
Kepler-18 d,14.85888000,16.40000,1.40000,-1.40000,6.980,0.330,-0.330,0.97,1.11,5345.00,1
Kepler-276 c,31.88400000,16.60000,4.40000,-3.60000,2.900,1.270,-0.280,1.10,1.05,6105.00,1
K2-110 b,13.86375000,16.70000,3.20000,-3.20000,2.592,0.098,-0.098,0.74,0.71,5010.00,0
WASP-47 d,9.09500000,16.80000,12.00000,-7.00000,3.710,0.820,-0.820,1.11,1.16,5576.00,1
HD 192310 b,74.72000000,,,,,,,0.80,,5166.00,0
Kepler-18 c,7.64159000,17.30000,1.90000,-1.90000,5.490,0.260,-0.260,0.97,1.11,5345.00,1
HD 109271 b,7.85430000,,,,,,,1.05,,5783.00,0
Kepler-10 c,45.29430100,17.20000,1.90000,-1.90000,2.350,0.090,-0.040,0.91,1.06,5627.00,1
HD 204313 c,34.90500000,,,,,,,1.02,,5776.00,0
Kepler-396 c,88.50500000,17.90000,2.80000,-1.30000,5.300,1.950,-0.990,0.85,1.06,5384.00,1
MOA 2011-BLG-262L b,,18.00000,28.00000,-10.00000,,,,0.12,,,0
HD 69830 d,197.00000000,,,,,,,0.86,,5385.00,0
61 Vir c,38.02100000,,,,,,,0.94,0.96,5577.00,0
HD 90156 b,49.77000000,,,,,,,0.84,,5599.00,0
GJ 687 b,38.14000000,,,,,,,0.41,0.42,3413.00,0
HD 125612 c,4.15470000,,,,,,,1.09,,5900.00,0
HAT-P-26 b,4.23451600,18.75100,2.22500,-2.22500,6.333,0.807,-0.359,0.82,0.79,5079.00,0
HD 190360 c,17.11100000,,,,,,,0.96,1.13,5590.00,0
OGLE 2007-BLG-368L b,,20.00000,7.00000,-8.00000,,,,0.64,,,0
Kepler-20 g,34.94000000,,,,,,,0.95,0.96,5495.00,0
OGLE 2015-BLG-0966L b,,21.00000,2.00000,-2.00000,,,,0.38,,,0
HD 219828 b,3.83488700,,,,,,,1.23,1.69,5891.00,0
GJ 3293 c,122.61960000,,,,,,,0.42,0.40,3466.00,0
HD 16417 b,17.24000000,,,,,,,1.20,,,0
Kepler-56 b,10.50160000,22.10000,3.90000,-3.60000,6.510,0.290,-0.280,1.32,4.23,4840.00,1
GJ 436 b,2.64388312,22.10000,2.30000,-2.30000,4.170,0.168,-0.168,0.47,0.46,,0
Kepler-19 d,62.95000000,22.50000,1.20000,-5.60000,,,,0.94,0.86,5544.00,0
HD 47186 b,4.08450000,,,,,,,0.99,,5675.00,0
61 Vir d,123.01000000,,,,,,,0.94,0.96,5577.00,0
HD 10180 f,122.74400000,,,,,,,1.06,1.11,5911.00,0
Kepler-30 d,143.34394000,23.10000,2.70000,-2.70000,8.800,0.500,-0.500,0.99,0.95,5498.00,1
HD 10180 g,604.67000000,,,,,,,1.06,1.11,5911.00,0
GJ 3293 b,30.59870000,,,,,,,0.42,0.40,3466.00,0
HD 109271 c,30.93000000,,,,,,,1.05,,5783.00,0
HD 192310 c,525.80000000,,,,,,,0.80,,5166.00,0
Kepler-4 b,3.21346000,24.47200,3.81400,-3.81400,4.002,0.213,-0.213,1.22,1.49,5857.00,0
Kepler-25 c,12.72040000,24.60000,5.70000,-5.70000,5.200,0.090,-0.090,1.19,1.31,6270.00,1
rho CrB c,102.54000000,,,,,,,0.89,1.36,5627.00,0
HD 11964 c,37.91000000,,,,,,,1.12,,5349.00,0
HD 99492 b,17.05400000,,,,,,,0.85,0.78,4929.00,0
Kepler-11 g,118.38070000,25.00000,,,3.330,0.060,-0.080,0.96,1.06,5663.00,1
HD 10180 e,49.74800000,,,,,,,1.06,1.11,5911.00,0
HAT-P-11 b,4.88781620,25.74300,2.86000,-2.86000,4.730,0.157,-0.157,0.81,0.75,4780.00,0
